#width: 32
p d birth death 
2 1 8.13857 8.02814
2 1 8.13583 8.02503
2 1 8.23385 8.02503
2 1 8.2895 8.02319
2 1 8.13334 8.02233
2 1 8.33875 8.01974
2 1 8.04601 8.01971
2 1 8.20312 8.01543
2 1 8.2303 8.01478
2 1 8.08149 8.0134
2 1 8.18919 8.01323
2 1 8.02495 8.00816
2 1 8.07985 8.00706
2 1 8.04693 8.00495
2 1 8.05473 8.00495
2 1 8.08853 8.00274
2 1 8.119 8.00094
2 1 8.00093 8.00053
2 1 8.34951 7.99961
2 1 8.02675 7.99854
2 1 8.0833 7.99808
